Datetime,Open,High,Low,Close,Volume
2026-02-18 17:00:00+00:00,67124.06,67418.34,67032.56,67140.18,0
2026-02-18 18:00:00+00:00,67169.49,67188.91,66269.53,66301.73,227389440
2026-02-18 19:00:00+00:00,66321.0,66538.07,65896.55,66113.4,1026025472
2026-02-18 20:00:00+00:00,66169.17,66494.73,66135.7,66256.09,367351808
2026-02-18 21:00:00+00:00,66218.62,66431.15,66082.74,66325.8,571430912
2026-02-18 22:00:00+00:00,66303.55,66424.14,66217.52,66405.24,232194048
2026-02-18 23:00:00+00:00,66383.12,66467.79,66250.28,66415.52,158214144
2026-02-19 00:00:00+00:00,66441.85,66519.34,66323.91,66419.13,126160896
2026-02-19 01:00:00+00:00,66413.02,66833.91,66413.02,66825.52,0
2026-02-19 02:00:00+00:00,66836.07,66926.37,66628.52,66814.64,102717440
2026-02-19 03:00:00+00:00,66808.8,66928.09,66719.5,66915.53,84740096
2026-02-19 04:00:00+00:00,66953.77,67026.27,66739.41,66789.98,143282176
2026-02-19 05:00:00+00:00,66782.5,66839.68,66666.16,66835.3,0
2026-02-19 06:00:00+00:00,66873.39,67247.72,66873.39,67105.77,318400512
2026-02-19 07:00:00+00:00,67119.03,67241.93,67020.49,67162.84,0
2026-02-19 08:00:00+00:00,67186.16,67186.16,66797.95,66918.14,0
2026-02-19 09:00:00+00:00,66923.37,67149.06,66754.82,66813.48,73097216
2026-02-19 10:00:00+00:00,66808.41,66921.16,66749.66,66810.26,0
2026-02-19 11:00:00+00:00,66805.29,66890.34,66470.89,66470.94,0
2026-02-19 12:00:00+00:00,66463.62,66624.34,66331.13,66483.3,166684672
2026-02-19 13:00:00+00:00,66490.07,66526.0,65860.88,65880.56,1036775424
2026-02-19 14:00:00+00:00,65939.96,66601.01,65672.12,66429.09,178354176
2026-02-19 15:00:00+00:00,66399.55,66692.16,65990.69,66353.57,0
2026-02-19 16:00:00+00:00,66384.88,66474.86,65965.78,66340.36,0
2026-02-19 17:00:00+00:00,66291.97,67007.37,66191.38,66290.69,498089984
2026-02-19 18:00:00+00:00,66320.65,67011.52,66253.88,66922.7,0
2026-02-19 19:00:00+00:00,67005.47,67165.41,66691.42,67021.28,0
2026-02-19 20:00:00+00:00,67024.23,67129.59,66870.7,67093.53,0
2026-02-19 21:00:00+00:00,67095.48,67136.17,66886.01,66900.23,0
2026-02-19 22:00:00+00:00,66894.55,66912.2,66636.45,66912.2,445130752
2026-02-19 23:00:00+00:00,66926.68,66988.29,66819.5,66944.36,0
2026-02-20 00:00:00+00:00,66959.87,67369.12,66945.0,67228.2,450121728
2026-02-20 01:00:00+00:00,67222.18,67304.73,67132.77,67254.04,0
2026-02-20 02:00:00+00:00,67255.56,67312.88,67160.79,67261.33,0
2026-02-20 03:00:00+00:00,67227.07,67448.27,67225.23,67343.13,285358080
2026-02-20 04:00:00+00:00,67334.6,67341.23,67112.56,67233.38,57653248
2026-02-20 05:00:00+00:00,67235.12,67976.8,67172.95,67743.99,983795712
2026-02-20 06:00:00+00:00,67757.84,67859.91,67658.75,67835.2,240646144
2026-02-20 07:00:00+00:00,67819.2,67947.27,67761.8,67780.32,0
2026-02-20 08:00:00+00:00,67804.14,67907.44,67732.1,67842.3,0
2026-02-20 09:00:00+00:00,67850.53,68193.94,67850.53,68166.82,510959616
2026-02-20 10:00:00+00:00,68187.98,68260.72,67895.52,67912.9,0
2026-02-20 11:00:00+00:00,67904.41,67934.84,67410.94,67410.94,1116385280
2026-02-20 12:00:00+00:00,67318.16,67539.2,67299.28,67501.06,349444096
2026-02-20 13:00:00+00:00,67514.64,67514.64,66507.21,66736.46,2064957440
2026-02-20 14:00:00+00:00,66783.83,67219.53,66718.42,67070.55,2165264384
2026-02-20 15:00:00+00:00,67073.04,67994.24,66587.21,67543.8,2016649216
2026-02-20 16:00:00+00:00,67578.8,67870.52,67308.83,67753.58,1054220288
2026-02-20 17:00:00+00:00,67721.24,67728.73,66999.8,67574.77,3142328320
2026-02-20 18:00:00+00:00,67597.48,67940.16,67462.8,67940.16,1107406848
2026-02-20 19:00:00+00:00,67938.07,67974.47,67543.18,67637.83,298446848
2026-02-20 20:00:00+00:00,67628.16,67799.7,67559.56,67704.04,279425024
2026-02-20 21:00:00+00:00,67725.75,67794.42,67621.83,67789.57,502231040
2026-02-20 22:00:00+00:00,67784.08,68056.83,67639.96,68043.89,42770432
2026-02-20 23:00:00+00:00,68043.89,68185.45,67923.62,67999.62,237027328
